size,time,type,action
279,0.002,parallel,vector
279,0.007,parallel,sum
280,0.001,parallel,vector
280,0.007,parallel,sum
281,0.002,parallel,vector
281,0.007,parallel,sum
282,0.003,parallel,vector
282,0.008,parallel,sum
283,0.002,parallel,vector
283,0.007,parallel,sum
284,0.002,parallel,vector
284,0.009,parallel,sum
285,0.001,parallel,vector
285,0.008,parallel,sum
286,0.001,parallel,vector
286,0.007,parallel,sum
287,0.002,parallel,vector
287,0.009,parallel,sum
288,0.002,parallel,vector
288,0.007,parallel,sum
289,0.002,parallel,vector
289,0.007,parallel,sum
290,0.002,parallel,vector
290,0.008,parallel,sum
291,0.002,parallel,vector
291,0.008,parallel,sum
292,0.003,parallel,vector
292,0.009,parallel,sum
293,0.002,parallel,vector
293,0.009,parallel,sum
294,0.002,parallel,vector
294,0.008,parallel,sum
295,0.003,parallel,vector
295,0.009,parallel,sum
296,0.002,parallel,vector
296,0.009,parallel,sum
297,0.002,parallel,vector
297,0.009,parallel,sum
298,0.002,parallel,vector
298,0.011,parallel,sum
299,0.002,parallel,vector
299,0.008,parallel,sum
300,0.001,parallel,vector
300,0.011,parallel,sum
301,0.001,parallel,vector
301,0.011,parallel,sum
302,0.002,parallel,vector
302,0.009,parallel,sum
303,0.002,parallel,vector
303,0.01,parallel,sum
304,0.001,parallel,vector
304,0.008,parallel,sum
305,0.002,parallel,vector
305,0.009,parallel,sum
306,0.003,parallel,vector
306,0.009,parallel,sum
307,0.002,parallel,vector
307,0.009,parallel,sum
308,0.002,parallel,vector
308,0.009,parallel,sum
309,0.002,parallel,vector
309,0.01,parallel,sum
310,0.002,parallel,vector
310,0.009,parallel,sum
311,0.002,parallel,vector
311,0.01,parallel,sum
312,0.002,parallel,vector
312,0.011,parallel,sum
313,0.002,parallel,vector
313,0.01,parallel,sum
314,0.002,parallel,vector
314,0.009,parallel,sum
315,0.002,parallel,vector
315,0.01,parallel,sum
316,0.002,parallel,vector
316,0.009,parallel,sum
317,0.002,parallel,vector
317,0.01,parallel,sum
318,0.002,parallel,vector
318,0.01,parallel,sum
319,0.002,parallel,vector
319,0.009,parallel,sum
320,0.003,parallel,vector
320,0.011,parallel,sum
321,0.002,parallel,vector
321,0.011,parallel,sum
322,0.002,parallel,vector
322,0.009,parallel,sum
323,0.003,parallel,vector
323,0.009,parallel,sum
324,0.003,parallel,vector
324,0.011,parallel,sum
325,0.002,parallel,vector
325,0.01,parallel,sum
326,0.003,parallel,vector
326,0.01,parallel,sum
327,0.002,parallel,vector
327,0.023,parallel,sum
328,0.002,parallel,vector
328,0.009,parallel,sum
329,0.003,parallel,vector
329,0.01,parallel,sum
330,0.003,parallel,vector
330,0.01,parallel,sum
331,0.002,parallel,vector
331,0.01,parallel,sum
332,0.003,parallel,vector
332,0.01,parallel,sum
333,0.003,parallel,vector
333,0.011,parallel,sum
334,0.002,parallel,vector
334,0.01,parallel,sum
335,0.003,parallel,vector
335,0.01,parallel,sum
336,0.002,parallel,vector
336,0.012,parallel,sum
337,0.002,parallel,vector
337,0.011,parallel,sum
338,0.002,parallel,vector
338,0.012,parallel,sum
339,0.002,parallel,vector
339,0.011,parallel,sum
340,0.003,parallel,vector
340,0.011,parallel,sum
341,0.002,parallel,vector
341,0.012,parallel,sum
342,0.002,parallel,vector
342,0.012,parallel,sum
343,0.003,parallel,vector
343,0.011,parallel,sum
344,0.002,parallel,vector
344,0.012,parallel,sum
345,0.002,parallel,vector
345,0.012,parallel,sum
346,0.002,parallel,vector
346,0.012,parallel,sum
347,0.002,parallel,vector
347,0.012,parallel,sum
348,0.002,parallel,vector
348,0.013,parallel,sum
349,0.003,parallel,vector
349,0.013,parallel,sum
350,0.003,parallel,vector
350,0.014,parallel,sum
351,0.003,parallel,vector
351,0.012,parallel,sum
352,0.003,parallel,vector
352,0.011,parallel,sum
353,0.003,parallel,vector
353,0.012,parallel,sum
354,0.003,parallel,vector
354,0.013,parallel,sum
355,0.002,parallel,vector
355,0.013,parallel,sum
356,0.002,parallel,vector
356,0.013,parallel,sum
357,0.003,parallel,vector
357,0.012,parallel,sum
358,0.003,parallel,vector
358,0.012,parallel,sum
359,0.003,parallel,vector
359,0.013,parallel,sum
1,0,serial,vector
1,0,serial,sum
2,0,serial,vector
2,0,serial,sum
3,0,serial,vector
3,0,serial,sum
4,0,serial,vector
4,0,serial,sum
5,0,serial,vector
5,0,serial,sum
6,0,serial,vector
6,0,serial,sum
7,0,serial,vector
7,0,serial,sum
8,0,serial,vector
8,0,serial,sum
9,0,serial,vector
9,0,serial,sum
10,0,serial,vector
10,0,serial,sum
11,0,serial,vector
11,0,serial,sum
12,0,serial,vector
12,0,serial,sum
13,0,serial,vector
13,0,serial,sum
14,0,serial,vector
14,0,serial,sum
15,0,serial,vector
15,0,serial,sum
16,0,serial,vector
16,0,serial,sum
17,0,serial,vector
17,0,serial,sum
18,0,serial,vector
18,0,serial,sum
19,0,serial,vector
19,0,serial,sum
20,0,serial,vector
20,0,serial,sum
21,0,serial,vector
21,0,serial,sum
22,0,serial,vector
22,0,serial,sum
23,0,serial,vector
23,0.001,serial,sum
24,0,serial,vector
24,0,serial,sum
25,0,serial,vector
25,0,serial,sum
26,0,serial,vector
26,0,serial,sum
27,0,serial,vector
27,0,serial,sum
